Epot  EKin
-2748538.5398138477   2682.2069109428658
-3591834.0935696918   30050502.01837714
-4578931.133467709   78350074.89375956
-4114750.979213802   101086580.20849307
-4032962.112245849   138851387.74925965
-4484581.23629787   148115914.45870835
-4218799.666960394   176461745.3040689
-4655952.76674854   217210829.75172704
-4590792.299411507   249685122.1176996
-4894979.907712394   263318035.97356027
-4268939.098515997   277104531.5406058
-4273090.147893113   309050867.354767
-4326826.258405515   324223517.082885
-4439419.928258383   328914148.21394473
-3752148.728493153   346156596.2366527
-4354093.038380735   381599828.55255836
-4258465.138941428   464248399.50122875
-4640123.220987707   511426041.86825436
-4351140.616614017   519805693.47099495
-4048340.696239503   557690797.8790216
